Fuel Type Code,City,State,ZIP_Code,Status Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,ID,Open Date
ELEC,Hartford,CT,06103,E,2,0,Non-Networked,62488,9/1/2024
ELEC,Honolulu,HI,96813,E,1,0,Non-Networked,66924,2/5/2024
ELEC,Pensacola,FL,32526,E,2,0,Non-Networked,68276,12/3/2022
ELEC,Encinitas,CA,92024,E,10,0,ChargePoint Network,69981,5/1/2023
ELEC,Milwaukee,WI,53295,E,0,0,Non-Networked,77661,8/5/2025
ELEC,Mammoth,WY,82190,E,2,0,Non-Networked,87647,8/5/2025
ELEC,Birmingham,AL,35214,E,2,0,Non-Networked,99659,7/31/2024
ELEC,Long Beach,CA,90802,E,3,0,Tesla Destination,113072,7/14/2022
ELEC,San Martin,CA,95046,E,14,0,Tesla Destination,113358,4/13/2022
ELEC,Santa Barbara,CA,93101,E,1,0,Tesla Destination,113366,8/15/2022
ELEC,Santa Barbara,CA,93103,E,4,0,Tesla Destination,113369,3/25/2022
ELEC,Takoma Park,MD,20912,E,2,0,SWTCH,146938,7/9/2025
ELEC,Annapolis,MD,21403,E,2,0,SWTCH,146940,7/9/2025
ELEC,Westminster,MD,21157,E,2,2,SWTCH,149892,7/9/2025
ELEC,Aberdeen,MD,21001,E,6,0,SWTCH,152512,7/8/2025
ELEC,Ellicott City,MD,21042,E,4,2,SWTCH,153270,7/2/2025
ELEC,New Carrollton,MD,20784,E,4,0,SWTCH,153837,7/9/2025
ELEC,Westminster,MD,21157,E,4,0,SWTCH,154106,7/8/2025
ELEC,Sykesville,MD,21784,E,6,0,SWTCH,154248,7/3/2025
ELEC,Annapolis,MD,21401,E,4,2,SWTCH,154458,7/9/2025
ELEC,Aberdeen,MD,21001,E,14,4,SWTCH,155229,7/9/2025
ELEC,Hampstead,MD,21074,E,6,0,SWTCH,155251,6/18/2025
ELEC,Havre De Grace,MD,21078,E,6,0,SWTCH,156159,6/16/2025
ELEC,Havre De Grace,MD,21078,E,4,2,SWTCH,156160,7/8/2025
ELEC,Fallston,MD,21047,E,8,0,SWTCH,156162,7/4/2025
ELEC,Bel Air,MD,21014,E,0,4,SWTCH,156164,7/8/2025
ELEC,Madera,CA,93673,E,2,2,EVCS,163570,2/19/2024
ELEC,Columbia,MD,21045,E,6,4,SWTCH,163621,7/9/2025
ELEC,Cooksville,MD,21723,E,6,2,SWTCH,163651,7/8/2025
ELEC,Finksburg,MD,21048,E,4,2,SWTCH,163719,6/19/2025
ELEC,Laurel,MD,20707,E,4,0,SWTCH,163739,7/9/2025
ELEC,Mt. Rainier,MD,20712,E,3,0,SWTCH,165073,6/23/2025
ELEC,Salisbury,MD,21801,E,4,0,SWTCH,167152,7/9/2025
ELEC,Glen Burnie,MD,21061,E,4,4,SWTCH,167186,6/26/2025
ELEC,Hampstead,MD,21074,E,4,0,SWTCH,167757,6/29/2025
ELEC,Glen Burnie,MD,21061,E,6,2,SWTCH,168484,7/9/2025
ELEC,Randallstown,MD,21133,E,2,2,SWTCH,170914,7/9/2025
ELEC,Annapolis,MD,21409,E,4,2,SWTCH,170917,7/9/2025
ELEC,Essex,MD,21221,E,4,0,SWTCH,171224,7/9/2025
ELEC,Arbutus,MD,21227,E,4,4,SWTCH,171265,7/8/2025
ELEC,Ellicott City,MD,21043,E,6,4,SWTCH,171290,6/4/2025
ELEC,Parkville,MD,21234,E,4,0,SWTCH,183501,5/26/2025
ELEC,Baltimore,MD,21212,E,4,4,SWTCH,184190,7/9/2025
ELEC,Dallas,TX,75216,E,16,0,Non-Networked,184343,8/5/2025
ELEC,Dundalk,MD,21222,E,4,4,SWTCH,184910,7/9/2025
ELEC,Melbourne,FL,32934,E,0,3,7CHARGE,185198,7/1/2022
ELEC,Fort Myers,FL,33913,E,0,0,Non-Networked,185207,11/16/2022
ELEC,Venice,FL,33870,E,0,4,JULE,185208,4/1/2023
ELEC,Sarasota,FL,34233,E,0,4,7CHARGE,185209,7/8/2022
ELEC,Wildwood,FL,34785,E,0,2,Non-Networked,185212,11/1/2022
