Vehicle ID,Model,Model Year,Manufacturer,Fuel,Electric-Only Range,Charging Rate DC Fast (kW),Battery Capacity kWh
13830,Q4 45 e-tron,2025,Audi,Electric,288,150,81.6
13972,Q4 55 e-tron quattro,2025,Audi,Electric,258,150,81.6
13973,Q6 e-tron,2025,Audi,Electric,298,50,100.2
13831,Q6 e-tron quattro,2025,Audi,Electric,295,50,100
13832,Q8 e-tron quattro,2025,Audi,Electric,254,170,114.3
13974,S e-tron GT,2025,Audi,Electric,294,50,105
13834,SQ6 e-tron,2025,Audi,Electric,275,50,100
13835,SQ8 e-tron,2025,Audi,Electric,208,50,114.3
13837,i4 eDrive35 Gran Coupe,2025,BMW,Electric,244,195,84.2
13838,i4 eDrive40 Gran Coupe,2025,BMW,Electric,295,195,84.2
13840,i4 M50 Gran Coupe,2025,BMW,Electric,227,196,105.7
13839,i4 xDrive40 Gran Coupe,2025,BMW,Electric,268,195,105.7
13841,i5 eDrive40 Sedan,2025,BMW,Electric,271,195,84
13842,i5 M60 xDrive Sedan,2025,BMW,Electric,239,195,105.6
13843,i5 xDrive40 Sedan,2025,BMW,Electric,248,195,105.6
13844,i7 eDrive50 Sedan,2025,BMW,Electric,301,195,105.6
13845,i7 M70 xDrive Sedan,2025,BMW,Electric,268,195,111.8
13846,i7 xDrive60 Sedan,2025,BMW,Electric,296,195,105.6
13847,iX M60,2025,BMW,Electric,284,195,111.8
13848,iX xDrive40,2025,BMW,Electric,211,195,111.8
13849,iX xDrive50,2025,BMW,Electric,302,195,111.8
13850,Nevera,2025,Bugatti Rimac,Electric,204,50,153.6
13975,Lyric,2025,Cadillac,Electric,326,190,116
13976,Lyric AWD,2025,Cadillac,Electric,303,190,116.9
13851,Blazer EV AWD,2025,Chevrolet,Electric,283,150,97.4
13977,Blazer EV RWD,2025,Chevrolet,Electric,334,150,116
13979,Equinox EV AWD,2025,Chevrolet,Electric,307,50,97.4
13978,Equinox EV FWD,2025,Chevrolet,Electric,319,50,97.4
13980,Silverado EV,2025,Chevrolet,Electric,390,350,136.3
13981,500e,2025,Fiat,Electric,141,85,42.2
13982,F150 Lightning 4WD Pro/ER1/Platinum,2025,Ford,Electric,300,150,165.2
13983,F150 Lightning 4WD SR,2025,Ford,Electric,240,150,124
13853,Electrified G80,2025,Genesis,Electric,282,230,87.2
13852,Electrified GV70,2025,Genesis,Electric,236,230,77.4
13855,GV60 Advanced/Performance,2025,Genesis,Electric,235,230,77.5
13854,GV60 RWD,2025,Genesis,Electric,294,230,77.5
13856,Hummer EV Pickup,2025,GMC,Electric,312,300,194.9
13857,Hummer EV Pickup,2025,GMC,Electric,289,300,194.9
13859,Hummer EV SUV,2025,GMC,Electric,289,300,194.9
13858,Hummer EV SUV,2025,GMC,Electric,282,300,194.9
13984,Sierra EV,2025,GMC,Electric,390,350,136.3
13987,Ioniq 5 AWD,2025,Hyundai,Electric,259,199,84.1
13860,Ioniq 5 N,2025,Hyundai,Electric,221,199,84.1
13985,Ioniq 5 RWD,2025,Hyundai,Electric,318,199,84.1
13986,Ioniq 5 Standard Range,2025,Hyundai,Electric,245,199,63.1
13861,Ioniq 6 AWD,2025,Hyundai,Electric,270,221,77.4
13862,Ioniq 6 RWD,2025,Hyundai,Electric,291,221,77.4
13863,Ioniq 6 Standard Range,2025,Hyundai,Electric,240,221,53.3
13864,Kona Electric,2025,Hyundai,Electric,230,100,64.8
13865,Kona Electric Standard Range,2025,Hyundai,Electric,200,100,48.5
13868,EV9 Long Range AWD,2025,Kia,Electric,270,200,99.9
13867,EV9 Long Range RWD,2025,Kia,Electric,304,200,99.9
13866,EV9 Standard Range RWD,2025,Kia,Electric,230,200,76.2
13869,Niro Electric,2025,Kia,Electric,253,75,64.8
13870,Air G Touring XR AWD,2025,Lucid,Electric,446,300,136.8
13871,Air Pure RWD,2025,Lucid,Electric,372,300,84.1
