city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Livingston,NJ,50,280,1.9079,High Opportunity
Ashland,MA,0,56,100.0,Critical Opportunity
Vandalia,OH,200,196,0.477,Saturated Market
Pipestem,WV,0,21,100.0,Critical Opportunity
Eden,NC,0,28,100.0,Critical Opportunity
Wareham,MA,700,252,0.1363,Saturated Market
St Charles MO,MO,0,14,100.0,Critical Opportunity
Torrance,CA,1900,1652,0.0502,Saturated Market
Naches,WA,50,7,1.9079,High Opportunity
Hockessin,DE,0,14,100.0,Critical Opportunity
WEST MONTGOMERY,TX,350,0,0.2726,Saturated Market
Boron,CA,150,7,0.636,Stable/Growing
Glenelg,MD,200,0,0.477,Saturated Market
Newton,MA,500,553,0.1908,Saturated Market
Marshall,TX,250,42,0.3816,Saturated Market
Laguna Niguel,CA,200,182,0.477,Saturated Market
Cedar Park,TX,1250,133,0.0763,Saturated Market
MCALLEN,TX,150,0,0.636,Stable/Growing
Lake Worth Beach,FL,0,126,100.0,Critical Opportunity
Prince George,VA,0,14,100.0,Critical Opportunity
Belcamp,MD,300,42,0.318,Saturated Market
Glenmont,NY,400,56,0.2385,Saturated Market
STEWARTVILLE,MN,50,0,1.9079,High Opportunity
Beachwood,OH,200,91,0.477,Saturated Market
Northville,NY,0,28,100.0,Critical Opportunity
Crozet,VA,0,28,100.0,Critical Opportunity
Shelby Twp,MI,200,42,0.477,Saturated Market
Orange City,FL,400,14,0.2385,Saturated Market
Madison,GA,50,77,1.9079,High Opportunity
Baden,PA,0,28,100.0,Critical Opportunity
Montoursville,PA,50,21,1.9079,High Opportunity
Cape MAy,NJ,0,14,100.0,Critical Opportunity
Redondo Beach,CA,550,126,0.1734,Saturated Market
White Sands,NM,0,14,100.0,Critical Opportunity
Searcy,AR,0,21,100.0,Critical Opportunity
Galloway,NJ,150,0,0.636,Stable/Growing
Idyllwild-Pine Cove,CA,0,21,100.0,Critical Opportunity
Chelsea,MI,300,42,0.318,Saturated Market
Atwater,MN,100,0,0.954,Stable/Growing
Lamoure,ND,0,7,100.0,Critical Opportunity
Rosebug,OR,0,14,100.0,Critical Opportunity
Whitney Point,NY,400,0,0.2385,Saturated Market
Litchfield,IL,300,0,0.318,Saturated Market
Columbus,MS,300,21,0.318,Saturated Market
Coronado,CA,200,224,0.477,Saturated Market
Midland,TX,300,84,0.318,Saturated Market
Kaneohe,HI,700,0,0.1363,Saturated Market
Aquinnah,MA,0,28,100.0,Critical Opportunity
Monte Rio,CA,0,21,100.0,Critical Opportunity
Lincoln,RI,0,14,100.0,Critical Opportunity
Rolling Hills Estates,CA,0,84,100.0,Critical Opportunity
Salina,UT,200,0,0.477,Saturated Market
La Jolla,CA,1400,1659,0.0681,Saturated Market
Sebastopol,CA,600,21,0.159,Saturated Market
Stevensville,MD,300,28,0.318,Saturated Market
Ramapo,NY,0,56,100.0,Critical Opportunity
Pine Bluffs,WY,100,14,0.954,Stable/Growing
Longwood,FL,0,35,100.0,Critical Opportunity
Bellbrook,OH,0,84,100.0,Critical Opportunity
Grand Terrace,CA,0,28,100.0,Critical Opportunity
Woodhull,IL,200,0,0.477,Saturated Market
Pennsville,NJ,800,0,0.1192,Saturated Market
LEESBURG,FL,50,7,1.9079,High Opportunity
Stillwater,OK,400,28,0.2385,Saturated Market
South Saint Paul,MN,0,42,100.0,Critical Opportunity
West Covina,CA,3200,497,0.0298,Saturated Market
Brunswick,MD,0,14,100.0,Critical Opportunity
VALPARAISO,IN,50,0,1.9079,High Opportunity
Dulles,VA,0,14,100.0,Critical Opportunity
Foster City,CA,0,28,100.0,Critical Opportunity
